Folder Path,Original Name,View Link,Direct Image Link
dress images/VN,24.png,https://drive.google.com/file/d/1jKy9GK91LQwJTbPhNiMK0kz7bvxgkiAK/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1jKy9GK91LQwJTbPhNiMK0kz7bvxgkiAK
dress images/VN,22.png,https://drive.google.com/file/d/1doC1wKsOjM0G_zSEF2pqdOa7raUTOwdx/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1doC1wKsOjM0G_zSEF2pqdOa7raUTOwdx
dress images/VN,20.png,https://drive.google.com/file/d/1SG9YluSDz4MCzNT-fOKPLSkoAXeLELEO/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1SG9YluSDz4MCzNT-fOKPLSkoAXeLELEO
dress images/VN,36.png,https://drive.google.com/file/d/1PRbXu5SYCKfMPkcHMMOfzmJc25hvHeeG/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1PRbXu5SYCKfMPkcHMMOfzmJc25hvHeeG
dress images/VN,18.png,https://drive.google.com/file/d/11zurFNde3uyJ-KwqazPBr3B6fmvOxlbb/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=11zurFNde3uyJ-KwqazPBr3B6fmvOxlbb
dress images/VN,16.png,https://drive.google.com/file/d/1IKA49EJgLEJQlVvKfhqiC1P7FGESLOw4/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1IKA49EJgLEJQlVvKfhqiC1P7FGESLOw4
dress images/VN,14.png,https://drive.google.com/file/d/1hf_o6nvxnkkpqXMou6i5VLZyYJoc-sS3/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1hf_o6nvxnkkpqXMou6i5VLZyYJoc-sS3
dress images/VN,11.png,https://drive.google.com/file/d/1bxI45cyrwTuDxrdEOLxtXY7XI3PQrJWA/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1bxI45cyrwTuDxrdEOLxtXY7XI3PQrJWA
dress images/VN,10.png,https://drive.google.com/file/d/1_2aVsFajLsWmU9mmiCoVRRqFV-LJ7hIc/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1_2aVsFajLsWmU9mmiCoVRRqFV-LJ7hIc
dress images/VN,08.png,https://drive.google.com/file/d/1II2bdQos0y0OcPK39UemFC4APRQit2nD/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1II2bdQos0y0OcPK39UemFC4APRQit2nD
